number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_norm,params_batch_size,params_dropout,params_l2,params_learning_rate,params_monotonic_penalty,params_n_layers,params_patience,params_units_0,params_units_1,params_units_2,params_units_3,user_attrs_accuracy,user_attrs_balanced_accuracy,user_attrs_best_epoch,user_attrs_mcc,user_attrs_ordinal_mae,user_attrs_severe_error,user_attrs_within_one,system_attrs_tpe:relative_params:0,state
10,0.08700167460462419,2026-09-19 13:52:20.876410,2026-09-19 13:53:41.862902,0 days 00:01:20.986492,gelu,True,512,0.07085111242080959,3.007641743388208e-06,0.0014250085619264214,1.6902761223980765,3,16,192,32.0,320.0,,0.09000989119683482,0.37035107073481865,11,0.04652280607535627,1.5448813056379822,0.4892433234421365,0.5107566765578635,"{""activation"": ""gelu"", ""batch_norm"": true, ""batch_size"": 512, ""dropout"": 0.07085111242080959, ""l2"": 3.007641743388208e-06, ""learning_rate"": 0.0014250085619264214, ""monotonic_penalty"": 1.6902761223980765, ""n_layers"": 3, ""patience"": 16, ""units_0"": 192}",COMPLETE
11,0.07449672870269357,2026-09-19 13:53:41.863139,2026-09-19 13:55:48.075299,0 days 00:02:06.212160,gelu,True,256,0.06713109764446909,3.352497371347415e-06,0.00012837765818559163,0.8651884590196383,2,8,64,192.0,,,0.07950049455984175,0.37649795261114544,43,0.038749132146476066,1.5914935707220574,0.5103857566765578,0.4896142433234421,"{""activation"": ""gelu"", ""batch_norm"": true, ""batch_size"": 256, ""dropout"": 0.06713109764446909, ""l2"": 3.352497371347415e-06, ""learning_rate"": 0.00012837765818559163, ""monotonic_penalty"": 0.8651884590196383, ""n_layers"": 2, ""patience"": 8, ""units_0"": 64}",COMPLETE
12,0.11627287161018388,2026-09-19 13:55:48.075571,2026-09-19 13:57:06.661960,0 days 00:01:18.586389,relu,True,512,0.0372711038662909,8.965646000581366e-05,0.0005470820293233946,0.9533357991135442,3,20,96,192.0,32.0,,0.12351632047477745,0.3827357139679167,13,0.06297258192605744,1.4800939663699308,0.4647626112759644,0.5352373887240356,"{""activation"": ""relu"", ""batch_norm"": true, ""batch_size"": 512, ""dropout"": 0.0372711038662909, ""l2"": 8.965646000581366e-05, ""learning_rate"": 0.0005470820293233946, ""monotonic_penalty"": 0.9533357991135442, ""n_layers"": 3, ""patience"": 20, ""units_0"": 96}",COMPLETE
13,0.07887279916944841,2026-09-19 13:57:06.662199,2026-09-19 13:58:40.324058,0 days 00:01:33.661859,gelu,True,512,0.08656586272538586,2.657139822127879e-05,0.0009261736413272574,1.2577434289083604,3,24,256,128.0,32.0,,0.08184965380811078,0.376731572396057,7,0.04451470135383409,1.5607072205736894,0.49591988130563797,0.504080118694362,"{""activation"": ""gelu"", ""batch_norm"": true, ""batch_size"": 512, ""dropout"": 0.08656586272538586, ""l2"": 2.657139822127879e-05, ""learning_rate"": 0.0009261736413272574, ""monotonic_penalty"": 1.2577434289083604, ""n_layers"": 3, ""patience"": 24, ""units_0"": 256}",COMPLETE
14,0.13224551280461389,2026-09-19 13:58:40.324359,2026-09-19 14:01:31.758646,0 days 00:02:51.434287,gelu,True,512,0.01835732393469912,0.00027030984604663985,0.00016490608248867335,0.83297257045474,3,20,96,224.0,128.0,,0.1395895153313551,0.38864025677334685,37,0.06166097340469936,1.4009643916913948,0.423837784371909,0.576162215628091,"{""activation"": ""gelu"", ""batch_norm"": true, ""batch_size"": 512, ""dropout"": 0.01835732393469912, ""l2"": 0.00027030984604663985, ""learning_rate"": 0.00016490608248867335, ""monotonic_penalty"": 0.83297257045474, ""n_layers"": 3, ""patience"": 20, ""units_0"": 96}",COMPLETE
15,0.09846119396335129,2026-09-19 14:01:31.758903,2026-09-19 14:06:57.191040,0 days 00:05:25.432137,gelu,True,512,0.044378929139973156,0.0002845296731494962,0.00010783328526100126,0.8343547763285438,2,24,64,256.0,,,0.09977744807121662,0.3871362061353095,130,0.04721380152000639,1.5051928783382789,0.4671117705242334,0.5328882294757665,"{""activation"": ""gelu"", ""batch_norm"": true, ""batch_size"": 512, ""dropout"": 0.044378929139973156, ""l2"": 0.0002845296731494962, ""learning_rate"": 0.00010783328526100126, ""monotonic_penalty"": 0.8343547763285438, ""n_layers"": 2, ""patience"": 24, ""units_0"": 64}",COMPLETE
16,0.08437640880161126,2026-09-19 14:06:57.191277,2026-09-19 14:10:23.330697,0 days 00:03:26.139420,gelu,True,512,0.19348564707971444,0.0023626030260287274,0.0003038866869171715,0.88223474857899,3,20,96,128.0,160.0,,0.081973293768546,0.3788614549158133,60,0.04599654962340429,1.5461177052423343,0.48677052423343226,0.5132294757665677,"{""activation"": ""gelu"", ""batch_norm"": true, ""batch_size"": 512, ""dropout"": 0.19348564707971444, ""l2"": 0.0023626030260287274, ""learning_rate"": 0.0003038866869171715, ""monotonic_penalty"": 0.88223474857899, ""n_layers"": 3, ""patience"": 20, ""units_0"": 96}",COMPLETE
17,0.12869966613314743,2026-09-19 14:10:23.330939,2026-09-19 14:14:48.118064,0 days 00:04:24.787125,gelu,True,512,0.05200783505451545,0.00021646136986313064,0.00012919296461504946,0.0006365278197337787,3,16,96,224.0,256.0,,0.14169139465875372,0.39896570159254835,53,0.061745318314966234,1.4041790306627102,0.4276706231454006,0.5723293768545994,"{""activation"": ""gelu"", ""batch_norm"": true, ""batch_size"": 512, ""dropout"": 0.05200783505451545, ""l2"": 0.00021646136986313064, ""learning_rate"": 0.00012919296461504946, ""monotonic_penalty"": 0.0006365278197337787, ""n_layers"": 3, ""patience"": 16, ""units_0"": 96}",COMPLETE
18,0.09917936246516147,2026-09-19 14:14:48.118307,2026-09-19 14:16:58.305277,0 days 00:02:10.186970,gelu,True,512,0.027800329197755054,6.573116749075999e-05,0.0001739320303681658,1.006762464911647,2,12,160,256.0,,,0.1054648862512364,0.37941388166016693,35,0.053821687903919446,1.53771018793274,0.4899851632047478,0.5100148367952523,"{""activation"": ""gelu"", ""batch_norm"": true, ""batch_size"": 512, ""dropout"": 0.027800329197755054, ""l2"": 6.573116749075999e-05, ""learning_rate"": 0.0001739320303681658, ""monotonic_penalty"": 1.006762464911647, ""n_layers"": 2, ""patience"": 12, ""units_0"": 160}",COMPLETE
19,0.09748337204741393,2026-09-19 14:16:58.305518,2026-09-19 14:22:23.568100,0 days 00:05:25.262582,gelu,True,512,0.13716824599138705,0.006007460294044407,0.0002452484666500381,0.17918466996654947,3,16,96,224.0,320.0,,0.09606824925816024,0.38906270894011447,63,0.04990288743495451,1.5105093966369931,0.4719337289812067,0.5280662710187932,"{""activation"": ""gelu"", ""batch_norm"": true, ""batch_size"": 512, ""dropout"": 0.13716824599138705, ""l2"": 0.006007460294044407, ""learning_rate"": 0.0002452484666500381, ""monotonic_penalty"": 0.17918466996654947, ""n_layers"": 3, ""patience"": 16, ""units_0"": 96}",COMPLETE
