number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_accuracy,user_attrs_balanced_accuracy,user_attrs_mcc,user_attrs_mean_best_iteration,user_attrs_ordinal_mae,user_attrs_severe_error,user_attrs_within_one,system_attrs_tpe:relative_params:0,state
12,0.47908848755191624,2026-09-19 12:37:05.068382,2026-09-19 12:37:36.998531,0 days 00:00:31.930149,0.6661398799629875,120,0.9333838493612959,0.04224609598528306,10,1.1067494738134809,1.0385834954195047e-07,0.06259203181187217,0.7526620682851809,0.5635509396636993,0.4847272433554619,0.34734836317623796,958.75,0.5382047477744807,0.09038081107814046,0.9096191889218596,"{""colsample_bytree"": 0.6661398799629875, ""early_stopping_rounds"": 120, ""gamma"": 0.9333838493612959, ""learning_rate"": 0.04224609598528306, ""max_depth"": 10, ""min_child_weight"": 1.1067494738134809, ""reg_alpha"": 1.0385834954195047e-07, ""reg_lambda"": 0.06259203181187217, ""subsample"": 0.7526620682851809}",COMPLETE
13,0.44481433217349997,2026-09-19 12:37:36.998628,2026-09-19 12:38:22.151992,0 days 00:00:45.153364,0.7051639096369211,120,1.9677220462192024,0.03595021356849876,10,1.8071313228735961,1.2897789233983153e-08,0.0013105326457490203,0.7829345759078616,0.5301681503461919,0.5009794249956918,0.32474231059881487,1803.25,0.5991592482690405,0.1132542037586548,0.8867457962413452,"{""colsample_bytree"": 0.7051639096369211, ""early_stopping_rounds"": 120, ""gamma"": 1.9677220462192024, ""learning_rate"": 0.03595021356849876, ""max_depth"": 10, ""min_child_weight"": 1.8071313228735961, ""reg_alpha"": 1.2897789233983153e-08, ""reg_lambda"": 0.0013105326457490203, ""subsample"": 0.7829345759078616}",COMPLETE
14,0.47384932751536113,2026-09-19 12:38:22.152158,2026-09-19 12:39:14.336667,0 days 00:00:52.184509,0.6976131964491336,120,0.3511182167213819,0.03244965843533538,7,0.7405957644219272,1.0496929803358762e-07,0.5505404864984941,0.6544039726268169,0.558728981206726,0.4744511077839576,0.33745782964548415,1682.5,0.5410484668644906,0.0888971315529179,0.9111028684470821,"{""colsample_bytree"": 0.6976131964491336, ""early_stopping_rounds"": 120, ""gamma"": 0.3511182167213819, ""learning_rate"": 0.03244965843533538, ""max_depth"": 7, ""min_child_weight"": 0.7405957644219272, ""reg_alpha"": 1.0496929803358762e-07, ""reg_lambda"": 0.5505404864984941, ""subsample"": 0.6544039726268169}",COMPLETE
15,0.46397499962702027,2026-09-19 12:39:14.336756,2026-09-19 12:39:41.701678,0 days 00:00:27.364922,0.6860228672677706,100,0.576036950210047,0.0824750861199079,9,1.6402853301917837,6.803833445132853e-08,7.565355713889214,0.7344072348475432,0.5501978239366964,0.47958856729586596,0.3287468365081467,627.25,0.5545252225519288,0.09297725024727992,0.9070227497527201,"{""colsample_bytree"": 0.6860228672677706, ""early_stopping_rounds"": 100, ""gamma"": 0.576036950210047, ""learning_rate"": 0.0824750861199079, ""max_depth"": 9, ""min_child_weight"": 1.6402853301917837, ""reg_alpha"": 6.803833445132853e-08, ""reg_lambda"": 7.565355713889214, ""subsample"": 0.7344072348475432}",COMPLETE
16,0.48349456775996763,2026-09-19 12:39:41.701773,2026-09-19 12:40:28.904490,0 days 00:00:47.202717,0.6729981187169026,140,0.7384392255501286,0.033064670280913026,9,1.3809101173602867,5.741250130263529e-07,0.03373131377373477,0.7370961858810728,0.5705984174085065,0.48658120777437563,0.3555411979760294,1217.0,0.529055390702275,0.08877349159248268,0.9112265084075173,"{""colsample_bytree"": 0.6729981187169026, ""early_stopping_rounds"": 140, ""gamma"": 0.7384392255501286, ""learning_rate"": 0.033064670280913026, ""max_depth"": 9, ""min_child_weight"": 1.3809101173602867, ""reg_alpha"": 5.741250130263529e-07, ""reg_lambda"": 0.03373131377373477, ""subsample"": 0.7370961858810728}",COMPLETE
17,0.4897488703947186,2026-09-19 12:40:28.904662,2026-09-19 12:40:59.225186,0 days 00:00:30.320524,0.6905595354993515,140,0.03241648777317363,0.04765044742357722,10,2.0731497332846125,0.0006142651121295017,0.045512961896462936,0.7745676697874355,0.5723293768545994,0.4870672258470596,0.3538645845107492,543.5,0.5228733926805144,0.08531157270029674,0.9146884272997032,"{""colsample_bytree"": 0.6905595354993515, ""early_stopping_rounds"": 140, ""gamma"": 0.03241648777317363, ""learning_rate"": 0.04765044742357722, ""max_depth"": 10, ""min_child_weight"": 2.0731497332846125, ""reg_alpha"": 0.0006142651121295017, ""reg_lambda"": 0.045512961896462936, ""subsample"": 0.7745676697874355}",COMPLETE
18,0.4896146185710123,2026-09-19 12:40:59.225280,2026-09-19 12:41:35.131622,0 days 00:00:35.906342,0.7348242331341368,120,0.42480685359872034,0.037076444909226076,9,1.1382717971766645,0.0015884376194019228,0.4476829822815057,0.7712721183514554,0.5733184965380811,0.48586380598183665,0.35504990500369443,868.0,0.5195351137487636,0.08259149357072205,0.917408506429278,"{""colsample_bytree"": 0.7348242331341368, ""early_stopping_rounds"": 120, ""gamma"": 0.42480685359872034, ""learning_rate"": 0.037076444909226076, ""max_depth"": 9, ""min_child_weight"": 1.1382717971766645, ""reg_alpha"": 0.0015884376194019228, ""reg_lambda"": 0.4476829822815057, ""subsample"": 0.7712721183514554}",COMPLETE
19,0.48023872609637247,2026-09-19 12:41:35.131753,2026-09-19 12:42:08.388960,0 days 00:00:33.257207,0.7264429937736427,120,0.05544077888430106,0.056179074922469645,8,3.313146184777459,0.00010748653875588777,0.03503547580171642,0.7978509483328142,0.5625618199802176,0.48878644502323576,0.34429425225411536,849.5,0.5408011869436202,0.09235905044510385,0.9076409495548962,"{""colsample_bytree"": 0.7264429937736427, ""early_stopping_rounds"": 120, ""gamma"": 0.05544077888430106, ""learning_rate"": 0.056179074922469645, ""max_depth"": 8, ""min_child_weight"": 3.313146184777459, ""reg_alpha"": 0.00010748653875588777, ""reg_lambda"": 0.03503547580171642, ""subsample"": 0.7978509483328142}",COMPLETE
20,0.49070114755631666,2026-09-19 12:42:08.389129,2026-09-19 12:42:50.124625,0 days 00:00:41.735496,0.6727723142480915,120,0.6413066044459287,0.041606498696893375,10,1.4115316963725624,0.008871468610038968,0.2684941807745774,0.8456814329116074,0.5739366963402571,0.49374373036652675,0.3617249798131748,1195.25,0.5211424332344213,0.08419881305637983,0.9158011869436202,"{""colsample_bytree"": 0.6727723142480915, ""early_stopping_rounds"": 120, ""gamma"": 0.6413066044459287, ""learning_rate"": 0.041606498696893375, ""max_depth"": 10, ""min_child_weight"": 1.4115316963725624, ""reg_alpha"": 0.008871468610038968, ""reg_lambda"": 0.2684941807745774, ""subsample"": 0.8456814329116074}",COMPLETE
21,0.4760760129451719,2026-09-19 12:42:50.124718,2026-09-19 12:43:16.343058,0 days 00:00:26.218340,0.6171545077420831,140,0.3974168502314494,0.057308095223176675,9,2.589384044767712,2.853397189038456e-05,0.023906827651131057,0.7462351948238182,0.5631800197823936,0.4761721937298365,0.3434660016717506,643.5,0.5352373887240356,0.0879080118694362,0.9120919881305638,"{""colsample_bytree"": 0.6171545077420831, ""early_stopping_rounds"": 140, ""gamma"": 0.3974168502314494, ""learning_rate"": 0.057308095223176675, ""max_depth"": 9, ""min_child_weight"": 2.589384044767712, ""reg_alpha"": 2.853397189038456e-05, ""reg_lambda"": 0.023906827651131057, ""subsample"": 0.7462351948238182}",COMPLETE
22,0.49009518049065887,2026-09-19 12:43:16.343164,2026-09-19 12:43:52.527815,0 days 00:00:36.184651,0.767384433751186,140,0.5119405510474355,0.03186316785998451,10,1.8467753301646068,0.0054606311097227835,0.008903439578058394,0.7227822121727823,0.5748021760633036,0.4886738576768971,0.35830124313331857,807.25,0.522131552917903,0.08555885262116716,0.9144411473788329,"{""colsample_bytree"": 0.767384433751186, ""early_stopping_rounds"": 140, ""gamma"": 0.5119405510474355, ""learning_rate"": 0.03186316785998451, ""max_depth"": 10, ""min_child_weight"": 1.8467753301646068, ""reg_alpha"": 0.0054606311097227835, ""reg_lambda"": 0.008903439578058394, ""subsample"": 0.7227822121727823}",COMPLETE
23,0.46832948501480665,2026-09-19 12:43:52.527894,2026-09-19 12:44:44.945113,0 days 00:00:52.417219,0.7284455942596152,120,0.29955856409935633,0.026281973428144565,9,3.8282520240935156,0.0012355321218261303,0.022727909000744013,0.6659068249202983,0.5558852621167161,0.4783430219394341,0.33653881614247494,1389.25,0.5477250247279921,0.0917408506429278,0.9082591493570722,"{""colsample_bytree"": 0.7284455942596152, ""early_stopping_rounds"": 120, ""gamma"": 0.29955856409935633, ""learning_rate"": 0.026281973428144565, ""max_depth"": 9, ""min_child_weight"": 3.8282520240935156, ""reg_alpha"": 0.0012355321218261303, ""reg_lambda"": 0.022727909000744013, ""subsample"": 0.6659068249202983}",COMPLETE
24,0.47865003247064564,2026-09-19 12:44:44.945276,2026-09-19 12:45:20.586683,0 days 00:00:35.641407,0.7340166309747629,140,1.2632323412145254,0.055715158847806714,10,0.8458104007828589,0.0039138123289027184,0.01539638711754832,0.7572585528001512,0.5619436201780416,0.4942493411295099,0.349037088824758,1246.25,0.5432739861523245,0.0928536102868447,0.9071463897131553,"{""colsample_bytree"": 0.7340166309747629, ""early_stopping_rounds"": 140, ""gamma"": 1.2632323412145254, ""learning_rate"": 0.055715158847806714, ""max_depth"": 10, ""min_child_weight"": 0.8458104007828589, ""reg_alpha"": 0.0039138123289027184, ""reg_lambda"": 0.01539638711754832, ""subsample"": 0.7572585528001512}",COMPLETE
